type	latency
E1	0.5
E1	1
E1	1.5
E1	2
E1	2.5
E1	3
E1	3.5
E1	4
E1	4.5
E1	5
E1	5.5
E1	6
E1	6.5
E1	7
E1	7.5
E1	8
E1	8.5
E1	9
E1	9.5
E1	10
E1	10.5
E1	11
E1	11.5
E1	12
E1	12.5
E1	13
E1	13.5
E1	14
E1	14.5
E1	15
E1	15.5
E1	16
E1	16.5
E1	17
E1	17.5
E1	18
E1	18.5
E1	19
E1	19.5
E1	20
E1	20.5
E1	21
E1	21.5
E1	22
E1	22.5
E1	23
E1	23.5
E1	24
E1	24.5
E1	25
E1	25.5
E1	26
E1	26.5
E1	27
E1	27.5
E1	28
E1	28.5
E1	29
E1	29.5
E1	30
E1	30.5
E1	31
E1	31.5
E1	32
E1	32.5
E1	33
E1	33.5
E1	34
E1	34.5
E1	35
E1	35.5
E1	36
E1	36.5
E1	37
E1	37.5
E1	38
E1	38.5
E1	39
E1	39.5
E1	40
E1	40.5
E1	41
E1	41.5
E1	42
E1	42.5
E1	43
E1	43.5
E1	44
E1	44.5
E1	45
E1	45.5
E1	46
E1	46.5
E1	47
E1	47.5
E1	48
E1	48.5
E1	49
E1	49.5
E1	50
E1	50.5
E1	51
E1	51.5
E1	52
E1	52.5
E1	53
E1	53.5
E1	54
E1	54.5
E1	55
E1	55.5
E1	56
E1	56.5
E1	57
E1	57.5
E1	58
E1	58.5
E1	59
E1	59.5
E1	60
E1	60.5
E1	61
E1	61.5
E1	62
E1	62.5
E1	63
E1	63.5
E1	64
E1	64.5
E1	65
E1	65.5
E1	66
E1	66.5
E1	67
E1	67.5
E1	68
E1	68.5
E1	69
E1	69.5
E1	70
E1	70.5
E1	71
E1	71.5
E1	72
E1	72.5
E1	73
E1	73.5
E1	74
E1	74.5
E1	75
E1	75.5
E1	76
E1	76.5
E1	77
E1	77.5
E1	78
E1	78.5
E1	79
E1	79.5
E1	80
E1	80.5
E1	81
E1	81.5
E1	82
E1	82.5
E1	83
E1	83.5
E1	84
E1	84.5
E1	85
E1	85.5
E1	86
E1	86.5
E1	87
E1	87.5
E1	88
E1	88.5
E1	89
E1	89.5
E1	90
E1	90.5
E1	91
E1	91.5
E1	92
E1	92.5
E1	93
E1	93.5
E1	94
E1	94.5
E1	95
E1	95.5
E1	96
E1	96.5
E1	97
E1	97.5
E1	98
E1	98.5
E1	99
E1	99.5
E1	100
E1	100.5
E1	101
E1	101.5
E1	102
E1	102.5
E1	103
E1	103.5
E1	104
E1	104.5
E1	105
E1	105.5
E1	106
E1	106.5
E1	107
E1	107.5
E1	108
E1	108.5
E1	109
E1	109.5
E1	110
E1	110.5
E1	111
E1	111.5
E1	112
E1	112.5
E1	113
E1	113.5
E1	114
E1	114.5
E1	115
E1	115.5
E1	116
E1	116.5
E1	117
E1	117.5
E1	118
E1	118.5
E1	119
E1	119.5
E1	120
E1	120.5
E1	121
E1	121.5
E1	122
E1	122.5
